StockCode,Description,TotalAmount_sum,TotalAmount_mean,TotalAmount_count,Quantity_sum,Quantity_mean,UnitPrice_mean,UnitPrice_std,CustomerID_nunique,InvoiceNo_nunique,Revenue_per_Customer,Avg_Quantity_per_Transaction,Revenue_Category,Popularity_Category
46138B,BLUE CHENILLE SHAGGY CUSHION COVER ,54.2,3.87,14,56,4.0,1.01,0.4,8,14,6.78,4.0,Low,Occasional
46775D,SUNSET COLOUR CHUNKY KNITTED THROW,406.8,31.29,13,24,1.85,16.95,0.0,12,13,33.9,1.85,Medium,Occasional
46776A,WOVEN BUBBLE GUM CUSHION COVER,69.3,11.55,6,14,2.33,4.95,0.0,6,6,11.55,2.33,Low,Niche
46776B,WOVEN BERRIES CUSHION COVER ,74.25,10.61,7,15,2.14,4.95,0.0,6,7,12.38,2.14,Low,Niche
46776C,WOVEN FROST CUSHION COVER,54.45,9.08,6,11,1.83,4.95,0.0,6,6,9.08,1.83,Low,Niche
46776D,WOVEN SUNSET CUSHION COVER ,59.4,19.8,3,12,4.0,4.95,0.0,3,3,19.8,4.0,Low,Niche
46776E,WOVEN CANDY CUSHION COVER ,69.3,13.86,5,14,2.8,4.95,0.0,5,5,13.86,2.8,Low,Niche
46776F,WOVEN ROSE GARDEN CUSHION COVER ,94.05,11.76,8,19,2.38,4.95,0.0,6,8,15.68,2.38,Low,Niche
47013A,WINE BOTTLE DRESSING LT.BLUE,3.04,0.76,4,14,3.5,0.2,0.1,4,4,0.76,3.5,Low,Niche
47013C,WINE BOTTLE DRESSING DARK BLUE,6.94,0.87,8,55,6.88,0.14,0.06,7,8,0.99,6.88,Low,Niche
47016,LIGHT DECORATION BATTERY OPERATED,4.2,4.2,1,2,2.0,2.1,,1,1,4.2,2.0,Low,Niche
47021G,SET/6 BEAD COASTERS GAUZE BAG GOLD,230.4,15.36,15,518,34.53,0.62,0.39,12,15,19.2,34.53,Medium,Occasional
47310M,SMALL POP BOX FUNKY MONKEY,210.48,6.01,35,172,4.91,1.36,0.36,20,34,10.52,5.06,Medium,Occasional
47310M,"SMALL POP BOX,FUNKY MONKEY",116.25,8.94,13,93,7.15,1.25,0.0,8,13,14.53,7.15,Medium,Occasional
47341A,FUSCHIA TABLE RUN FLOWER ,38.75,7.75,5,27,5.4,1.75,1.12,5,5,7.75,5.4,Low,Niche
47341B,BLUE TABLE RUN FLOWER,56.25,5.11,11,45,4.09,1.25,0.0,11,11,5.11,4.09,Low,Occasional
47343A,FUSCHIA FLOWER PURSE WITH BEADS,144.34,11.1,13,158,12.15,0.98,0.29,12,13,12.03,12.15,Medium,Occasional
47344B,BLUE FLOWER DES PURSE,43.66,7.28,6,44,7.33,0.97,0.22,6,6,7.28,7.33,Low,Niche
47348A,FUSCHIA VOILE POINTY SHOE DEC,49.92,3.57,14,96,6.86,0.72,0.66,10,14,4.99,6.86,Low,Occasional
47351B,BLUE  VOILE LAMPSHADE,356.9,35.69,10,134,13.4,2.87,0.17,7,10,50.99,13.4,Medium,Niche
47367B,PAIR PADDED HANGERS PINK CHECK,194.55,17.69,11,57,5.18,3.68,0.24,11,11,17.69,5.18,Medium,Occasional
47369A,PINK GREEN EMBROIDERY COSMETIC BAG,23.6,3.93,6,8,1.33,2.95,0.0,6,6,3.93,1.33,Low,Niche
47369B,BLUE GREEN EMBROIDERY COSMETIC BAG,11.69,3.9,3,3,1.0,3.9,1.64,3,3,3.9,1.0,Low,Niche
47420,ASSORTED COLOUR SUCTION CUP HOOK,38.38,2.02,19,202,10.63,0.19,0.0,11,13,3.49,15.54,Low,Occasional
47421,ASSORTED COLOUR LIZARD SUCTION HOOK,385.02,6.11,63,975,15.48,0.42,0.01,16,54,24.06,18.06,Medium,Popular
47422,ASSORTED MONKEY SUCTION CUP HOOK,220.56,3.94,56,556,9.93,0.42,0.01,16,43,13.78,12.93,Medium,Popular
47469,ASSORTED SHAPES PHOTO CLIP SILVER ,167.11,9.83,17,359,21.12,0.64,0.06,10,11,16.71,32.64,Medium,Occasional
47471,RAINBOW PEGS PHOTO CLIP STRING,150.18,5.78,26,264,10.15,0.7,0.23,19,24,7.9,11.0,Medium,Occasional
47480,HANGING PHOTO CLIP ROPE LADDER,1092.88,20.24,54,692,12.81,1.85,0.56,29,52,37.69,13.31,High,Popular
47481,50CM METAL STRING WITH  7 CLIPS,164.22,8.21,20,222,11.1,0.84,0.04,15,19,10.95,11.68,Medium,Occasional
47503A,ASS FLORAL PRINT MULTI SCREWDRIVER,1286.77,7.57,170,2790,16.41,0.51,0.25,123,163,10.46,17.12,High,Best-Seller
47503H,ASS FLORAL PRINT SPIRIT LEVEL ,92.08,2.56,36,96,2.67,1.14,0.54,30,32,3.07,3.0,Low,Occasional
47503J,SET/3 FLORAL GARDEN TOOLS IN BAG,7.95,7.95,1,1,1.0,7.95,,1,1,7.95,1.0,Low,Niche
47504H,ENGLISH ROSE SPIRIT LEVEL ,865.88,9.31,93,952,10.24,1.24,0.84,69,93,12.55,10.24,High,Popular
47504K,ENGLISH ROSE GARDEN SECATEURS,1836.26,10.2,180,1970,10.94,1.09,0.5,141,175,13.02,11.26,High,Best-Seller
47518F,ICON PLACEMAT POP ART ELVIS,113.64,4.06,28,827,29.54,0.14,0.08,19,28,5.98,29.54,Medium,Occasional
47556B,TEA TIME TEA TOWELS ,6045.0,3022.5,2,2600,1300.0,2.33,0.32,1,2,6045.0,1300.0,Premium,Niche
47559B,TEA TIME OVEN GLOVE,2452.92,9.93,247,2033,8.23,1.28,0.22,151,242,16.24,8.4,Premium,Best-Seller
47563A,RETRO LONGBOARD IRONING BOARD COVER,255.0,5.54,46,202,4.39,1.3,0.37,31,45,8.23,4.49,Medium,Popular
47566,PARTY BUNTING,70020.93,49.45,1416,15563,10.99,4.87,0.37,708,1399,98.9,11.12,Premium,Best-Seller
47566B,TEA TIME PARTY BUNTING,14138.2,43.64,324,3715,11.47,4.83,0.37,193,320,73.25,11.61,Premium,Best-Seller
47567B,TEA TIME KITCHEN APRON,3336.02,25.08,133,600,4.51,5.94,0.63,81,125,41.19,4.8,Premium,Best-Seller
47570B,TEA TIME TABLE CLOTH,1642.68,63.18,26,180,6.92,10.4,0.7,23,26,71.42,6.92,High,Occasional
47574A,ENGLISH ROSE SCENTED HANGING FLOWER,367.0,7.06,52,424,8.15,1.22,1.21,36,50,10.19,8.48,Medium,Popular
47574B,ENGLISH ROSE SCENTED HANGING HEART,17.0,8.5,2,4,2.0,4.25,0.0,2,2,8.5,2.0,Low,Niche
47578A,ENGLISH ROSE SMALL SCENTED FLOWER,168.3,5.43,31,198,6.39,0.85,0.0,26,27,6.47,7.33,Medium,Occasional
47579,TEA TIME BREAKFAST BASKET,2.1,2.1,1,1,1.0,2.1,,1,1,2.1,1.0,Low,Niche
47580,TEA TIME DES TEA COSY,849.31,10.62,80,342,4.28,2.57,0.28,55,78,15.44,4.38,High,Popular
47585A,PINK FAIRY CAKE CUSHION COVER,382.5,14.17,27,102,3.78,3.75,0.0,23,27,16.63,3.78,Medium,Occasional
47586A,PINK FAIRY CAKE CUSHION COVER,53.55,6.69,8,21,2.62,2.55,0.0,7,8,7.65,2.62,Low,Niche
47589,CONGRATULATIONS BUNTING,70.85,23.62,3,13,4.33,5.45,0.0,3,3,23.62,4.33,Low,Niche
47590A,BLUE HAPPY BIRTHDAY BUNTING,10222.32,28.47,359,1974,5.5,5.47,0.51,228,358,44.83,5.51,Premium,Best-Seller
47590B,PINK HAPPY BIRTHDAY BUNTING,11812.25,32.19,367,2313,6.3,5.41,0.18,238,363,49.63,6.37,Premium,Best-Seller
47591B,SCOTTIES CHILDRENS APRON,62.7,6.27,10,38,3.8,1.65,0.0,9,10,6.97,3.8,Low,Niche
47591D,PINK FAIRY CAKE CHILDRENS APRON,5827.26,14.46,403,3146,7.81,1.97,0.29,252,399,23.12,7.88,Premium,Best-Seller
47593A,CAROUSEL PONIES BABY BIB,14.37,1.11,13,33,2.54,0.59,0.46,10,12,1.44,2.75,Low,Occasional
47593B,SCOTTIE DOGS BABY BIB,676.39,7.05,96,1663,17.32,0.49,0.24,68,94,9.95,17.69,High,Popular
47594A,CAROUSEL DESIGN WASHBAG,118.95,3.84,31,61,1.97,1.95,0.0,28,31,4.25,1.97,Medium,Occasional
47594B,SCOTTIES DESIGN WASHBAG,185.25,5.61,33,95,2.88,1.95,0.0,26,33,7.12,2.88,Medium,Occasional
47599A,PINK PARTY BAGS,4492.12,30.77,146,2414,16.53,2.07,0.11,101,144,44.48,16.76,Premium,Best-Seller
47599B,BLUE PARTY BAGS ,2836.04,26.02,109,1502,13.78,2.08,0.09,69,109,41.1,13.78,Premium,Popular
48111,DOORMAT 3 SMILEY CATS,6731.15,37.82,178,1109,6.23,7.79,0.58,111,175,60.64,6.34,Premium,Best-Seller
48116,DOORMAT MULTICOLOUR STRIPE,8061.47,56.37,143,1420,9.93,7.7,1.0,87,142,92.66,10.0,Premium,Best-Seller
48129,DOORMAT TOPIARY,5803.61,31.04,187,903,4.83,7.96,1.15,126,186,46.06,4.85,Premium,Best-Seller
48138,DOORMAT UNION FLAG,23795.49,45.15,527,3637,6.9,7.8,0.75,314,523,75.78,6.95,Premium,Best-Seller
48173C,DOORMAT BLACK FLOCK ,9855.2,55.37,178,1791,10.06,7.75,0.78,106,175,92.97,10.23,Premium,Best-Seller
48184,DOORMAT ENGLISH ROSE ,13518.65,37.45,361,1981,5.49,7.78,0.53,227,359,59.55,5.52,Premium,Best-Seller
48185,DOORMAT FAIRY CAKE,25742.59,104.22,247,4103,16.61,7.9,1.31,143,244,180.02,16.82,Premium,Best-Seller
48187,DOORMAT NEW ENGLAND,23000.05,42.67,539,3725,6.91,7.82,0.59,315,533,73.02,6.99,Premium,Best-Seller
48188,DOORMAT WELCOME PUPPIES,11584.25,45.25,256,2033,7.94,7.91,1.2,164,255,70.64,7.97,Premium,Best-Seller
48194,DOORMAT HEARTS,19972.66,41.1,486,3274,6.74,7.95,1.1,286,482,69.83,6.79,Premium,Best-Seller
51008,AFGHAN SLIPPER SOCK PAIR,1669.85,83.49,20,513,25.65,3.42,0.11,16,20,104.37,25.65,High,Occasional
51014A,"FEATHER PEN,HOT PINK",1838.81,11.35,162,3693,22.8,0.51,0.2,106,158,17.35,23.37,High,Best-Seller
51014C,"FEATHER PEN,COAL BLACK",1260.6,10.68,118,2668,22.61,0.53,0.21,71,114,17.75,23.4,High,Popular
51014L,"FEATHER PEN,LIGHT PINK",1017.42,9.33,109,2020,18.53,0.54,0.22,72,107,14.13,18.88,High,Popular
51020A,SUMMER FUN DESIGN SHOWER CAP,116.91,6.15,19,327,17.21,0.54,0.43,16,19,7.31,17.21,Medium,Occasional
51020B,STRIPY DESIGN SHOWER CAP,70.86,4.43,16,198,12.38,0.65,0.48,13,16,5.45,12.38,Low,Occasional
62018,SOMBRERO ,5691.5,96.47,59,4402,74.61,1.81,0.28,39,59,145.94,74.61,Premium,Popular
62043B,BLUE CHECK BAG W HANDLE 34X20CM,14.94,2.49,6,18,3.0,0.83,0.0,5,6,2.99,3.0,Low,Niche
62074B,ELEPHANT CLIP W SUCTION CUP,6.72,1.68,4,16,4.0,0.42,0.0,4,4,1.68,4.0,Low,Niche
62086A,PINK RETRO BIG FLOWER BAG,167.7,12.9,13,86,6.62,1.95,0.0,13,13,12.9,6.62,Medium,Occasional
62094B,TURQ ICE CREAM BUM BAG ,33.15,11.05,3,13,4.33,2.55,0.0,2,3,16.58,4.33,Low,Niche
62096A,PINK/YELLOW FLOWERS HANDBAG,132.5,16.56,8,106,13.25,1.25,0.0,7,8,18.93,13.25,Medium,Niche
62096B,PURPLE/TURQ FLOWERS HANDBAG,2.5,2.5,1,2,2.0,1.25,,1,1,2.5,2.0,Low,Niche
62097B,BLUE STRIPES SHOULDER BAG,7.47,2.49,3,9,3.0,0.83,0.0,2,3,3.74,3.0,Low,Niche
70006,LOVE HEART POCKET WARMER,1657.7,20.47,81,2620,32.35,1.24,0.56,72,78,23.02,33.59,High,Popular
70007,HI TEC ALPINE HAND WARMER,659.16,11.17,59,744,12.61,1.41,0.45,46,54,14.33,13.78,High,Popular
71038,WHITE HANGING BEADS CANDLE HOLDER,1272.2,24.95,51,244,4.78,5.4,0.19,34,49,37.42,4.98,High,Popular
71050,SMALL SINGLE FLAME CANDLE HOLDER,11.55,1.92,6,33,5.5,0.35,0.0,5,6,2.31,5.5,Low,Niche
71053,WHITE METAL LANTERN,5852.8,22.6,259,1630,6.29,3.71,0.31,145,247,40.36,6.6,Premium,Best-Seller
71053,WHITE MOROCCAN METAL LANTERN,202.92,15.61,13,48,3.69,4.77,2.01,9,12,22.55,4.0,Medium,Occasional
71101E,STANDING FAIRY POLE SUPPORT ,280.2,12.18,23,348,15.13,0.83,0.04,17,22,16.48,15.82,Medium,Occasional
71143,SILVER BOOK MARK WITH BEADS,8.5,8.5,1,10,10.0,0.85,,1,1,8.5,10.0,Low,Niche
71215,METAL BASE FOR CANDLES,4.62,2.31,2,11,5.5,0.42,0.0,2,2,2.31,5.5,Low,Niche
71270,PHOTO CLIP LINE,259.96,7.43,35,207,5.91,1.28,0.2,16,31,16.25,6.68,Medium,Occasional
71279,PINK GLASS CANDLEHOLDER,465.35,14.1,33,161,4.88,2.94,0.07,21,31,22.16,5.19,Medium,Occasional
71403,"PINK/WHITE ""KEEP CLEAN"" BULLET BIN",159.3,11.38,14,54,3.86,2.95,0.0,12,13,13.28,4.15,Medium,Occasional
71406C,BLACK ORANGE SQUEEZER,57.96,2.76,21,138,6.57,0.42,0.0,13,21,4.46,6.57,Low,Occasional
71459,HANGING JAM JAR T-LIGHT HOLDER,8247.05,25.77,320,10630,33.22,0.83,0.05,192,319,42.95,33.32,Premium,Best-Seller
71459,HANGING JAM JAR T-LIGHT HOLDERS,1869.88,26.71,70,2416,34.51,0.85,0.15,61,70,30.65,34.51,High,Popular
71477,COLOUR GLASS. STAR T-LIGHT HOLDER,19816.45,79.91,248,6829,27.54,3.43,0.72,150,245,132.11,27.87,Premium,Best-Seller
71477,COLOURED GLASS STAR T-LIGHT HOLDER,3676.29,72.08,51,1051,20.61,3.96,0.84,34,49,108.13,21.45,Premium,Popular
71495A,CD WALL TIDY BLUE OFFICE,34.56,17.28,2,96,48.0,0.36,0.0,2,2,17.28,48.0,Low,Niche
71495B,CD WALL TIDY RED FLOWERS,58.56,11.71,5,160,32.0,0.38,0.03,4,5,14.64,32.0,Low,Niche
71496A,A4 WALL TIDY BLUE OFFICE,61.86,12.37,5,114,22.8,0.55,0.05,5,5,12.37,22.8,Low,Niche
71496B,A4 WALL TIDY RED FLOWERS,7.37,1.84,4,13,3.25,0.56,0.06,4,4,1.84,3.25,Low,Niche
71510,SQUARE METAL CANDLEHOLDER BASE,36.52,4.56,8,52,6.5,0.81,0.11,5,8,7.3,6.5,Low,Niche
72024U,LILAC VOTIVE CANDLE,15.12,5.04,3,72,24.0,0.21,0.0,3,3,5.04,24.0,Low,Niche
72051S,BAG OF SILVER STONES,19.32,3.22,6,46,7.67,0.42,0.0,5,5,3.86,9.2,Low,Niche
72122,COFFEE SCENT PILLAR CANDLE,277.4,6.03,46,292,6.35,0.95,0.0,38,44,7.3,6.64,Medium,Popular
72127,COLUMBIAN CANDLE ROUND ,208.1,6.94,30,168,5.6,1.24,0.03,25,29,8.32,5.79,Medium,Occasional
72128,COLUMBIAN CANDLE ROUND,145.53,4.41,33,189,5.73,0.84,0.05,28,33,5.2,5.73,Medium,Occasional
72130,COLUMBIAN CANDLE ROUND,126.79,5.07,25,215,8.6,0.64,0.04,20,24,6.34,8.96,Medium,Occasional
72131,COLUMBIAN CANDLE RECTANGLE,238.35,12.54,19,137,7.21,1.9,0.11,14,18,17.02,7.61,Medium,Occasional
72132,COLUMBIAN CUBE CANDLE,54.6,4.55,12,28,2.33,1.95,0.0,9,12,6.07,2.33,Low,Occasional
72133,COLUMBIAN CANDLE RECTANGLE,48.75,3.48,14,39,2.79,1.25,0.0,11,13,4.43,3.0,Low,Occasional
72134,COLUMBIAN  CUBE CANDLE ,47.18,5.9,8,98,12.25,0.74,0.2,6,8,7.86,12.25,Low,Niche
72140E,BEST DAD CANDLE LETTERS,27.2,3.02,9,32,3.56,0.85,0.0,8,9,3.4,3.56,Low,Niche
72225C,LAVENDER SCENT CAKE CANDLE,158.64,9.91,16,600,37.5,0.28,0.03,12,16,13.22,37.5,Medium,Occasional
72232,FENG SHUI PILLAR CANDLE,630.23,9.55,66,3317,50.26,0.19,0.0,45,65,14.01,51.03,High,Popular
72349B,SET/6 PURPLE BUTTERFLY T-LIGHTS,1318.98,13.88,95,689,7.25,2.08,0.08,51,91,25.86,7.57,High,Popular
72351A,SET/6 TURQUOISE BUTTERFLY T-LIGHTS,2414.16,17.37,139,1248,8.98,2.08,0.08,78,133,30.95,9.38,Premium,Best-Seller
72351B,SET/6 PINK  BUTTERFLY T-LIGHTS,3866.54,23.87,162,2063,12.73,2.07,0.1,88,159,43.94,12.97,Premium,Best-Seller
72369A,PINK CLEAR GLASS CANDLE PLATE,35.0,8.75,4,28,7.0,1.25,0.0,3,3,11.67,9.33,Low,Niche
72586,SET OF 6 HALLOWEEN GHOST T-LIGHTS,278.04,7.13,39,662,16.97,0.42,0.0,36,38,7.72,17.42,Medium,Occasional
72598,SET/12 TAPER CANDLES,364.95,8.49,43,459,10.67,0.84,0.04,38,41,9.6,11.2,Medium,Occasional
72709,IVORY SCULPTED RND CANDLE ,37.4,5.34,7,44,6.29,0.85,0.0,4,7,9.35,6.29,Low,Niche
72741,GRAND CHOCOLATECANDLE,7821.3,30.2,259,5826,22.49,1.43,0.06,196,257,39.9,22.67,Premium,Best-Seller
72760B,VINTAGE CREAM 3 BASKET CAKE STAND,3691.78,26.75,138,388,2.81,9.85,0.54,105,137,35.16,2.83,Premium,Best-Seller
72780,BLACK SILOUETTE CANDLE PLATE,116.45,5.82,20,137,6.85,0.85,0.0,18,20,6.47,6.85,Medium,Occasional
72783,BLACK SIL'T SQU CANDLE PLATE ,33.6,16.8,2,16,8.0,2.1,0.0,2,2,16.8,8.0,Low,Niche
72798C,SET/4 GARDEN ROSE DINNER CANDLE,11.55,3.85,3,7,2.33,1.65,0.0,3,3,3.85,2.33,Low,Niche
72799C,PINK PILLAR CANDLE SILVER FLOCK,123.68,6.87,18,80,4.44,2.23,1.05,17,18,7.28,4.44,Medium,Occasional
72799E,IVORY PILLAR CANDLE SILVER FLOCK,745.84,14.62,51,400,7.84,2.57,0.83,44,49,16.95,8.16,High,Popular
72799F,IVORY PILLAR CANDLE GOLD FLOCK,368.0,16.73,22,128,5.82,2.93,0.09,19,21,19.37,6.1,Medium,Occasional
72800B, 4 PURPLE FLOCK DINNER CANDLES,270.76,6.94,39,140,3.59,2.32,0.6,31,36,8.73,3.89,Medium,Occasional
72800C,4 PINK DINNER CANDLE SILVER FLOCK,235.06,7.35,32,126,3.94,2.28,0.65,26,30,9.04,4.2,Medium,Occasional
72800D,4 BLUE DINNER CANDLES SILVER FLOCK,219.3,7.31,30,86,2.87,2.55,0.0,20,29,10.96,2.97,Medium,Occasional
72800E,4 IVORY DINNER CANDLES SILVER FLOCK,921.39,9.03,102,453,4.44,2.32,0.55,62,96,14.86,4.72,High,Popular
72801C,4 ROSE PINK DINNER CANDLES,163.38,11.67,14,138,9.86,1.24,0.05,13,14,12.57,9.86,Medium,Occasional
72801D,4 SKY BLUE DINNER CANDLES,72.5,6.04,12,58,4.83,1.25,0.0,10,12,7.25,4.83,Low,Occasional
72801G,4 BURGUNDY WINE DINNER CANDLES,68.75,5.73,12,55,4.58,1.25,0.0,9,11,7.64,5.0,Low,Occasional
72802A,ROSE SCENT CANDLE IN JEWELLED BOX,1292.04,21.18,61,320,5.25,4.36,0.92,44,59,29.36,5.42,High,Popular
72802B,OCEAN SCENT CANDLE IN JEWELLED BOX,2206.44,27.58,80,1368,17.1,3.91,1.0,55,80,40.12,17.1,Premium,Popular
72802C,VANILLA SCENT CANDLE JEWELLED BOX,3125.18,32.9,95,1880,19.79,3.94,0.93,64,92,48.83,20.43,Premium,Popular
72803A,ROSE SCENT CANDLE JEWELLED DRAWER,731.0,17.0,43,532,12.37,4.16,0.57,30,42,24.37,12.67,High,Occasional
72807A,SET/3 ROSE CANDLE IN JEWELLED BOX,1444.53,19.79,73,349,4.78,4.23,0.09,53,71,27.26,4.92,High,Popular
72807B,SET/3 OCEAN SCENT CANDLE JEWEL BOX,1456.25,17.55,83,353,4.25,4.23,0.08,56,79,26.0,4.47,High,Popular
72807C,SET/3 VANILLA SCENTED CANDLE IN BOX,3244.67,26.6,122,803,6.58,4.22,0.1,84,122,38.63,6.58,Premium,Popular
72811,SMALL ZINC/GLASS CANDLEHOLDER,67.25,11.21,6,49,8.17,1.45,0.1,6,6,11.21,8.17,Low,Niche
72812,LARGE ZINC GLASS CANDLEHOLDER,49.98,12.5,4,18,4.5,3.12,1.17,3,4,16.66,4.5,Low,Niche
72815,3 WICK CHRISTMAS BRIAR CANDLE ,22.5,11.25,2,6,3.0,3.75,0.0,2,2,11.25,3.0,Low,Niche
72816,SET/3 CHRISTMAS DECOUPAGE CANDLES,872.51,26.44,33,851,25.79,1.25,0.48,26,32,33.56,26.59,High,Occasional
72817,SET OF 2 CHRISTMAS DECOUPAGE CANDLE,991.4,10.22,97,1072,11.05,0.94,0.28,74,95,13.4,11.28,High,Popular
72818,CHRISTMAS DECOUPAGE CANDLE,808.69,12.25,66,1857,28.14,0.6,0.36,51,64,15.86,29.02,High,Popular
72819,CUPID DESIGN SCENTED CANDLES,436.4,14.55,30,208,6.93,2.19,0.58,28,30,15.59,6.93,Medium,Occasional
72821,CUPID SCENTED CANDLE IN GLASS,18.15,4.54,4,11,2.75,1.65,0.0,4,4,4.54,2.75,Low,Niche
75011,BLUE DAISY MOBILE,138.76,11.56,12,172,14.33,0.8,0.02,9,12,15.42,14.33,Medium,Occasional
75013B,"STRING OF 8 BUTTERFLIES,PINK",41.25,5.89,7,25,3.57,1.65,0.0,6,6,6.88,4.17,Low,Niche
75049L,LARGE CIRCULAR MIRROR MOBILE,6311.25,43.83,144,7049,48.95,1.09,0.2,71,138,88.89,51.08,Premium,Best-Seller
75131,METAL TUBE CHIME ON BAMBOO,522.56,40.2,13,488,37.54,1.57,0.24,13,13,40.2,37.54,Medium,Occasional
75172,PAINTED SEA SHELL METAL WINDCHIME,85.31,10.66,8,93,11.62,1.53,1.37,8,8,10.66,11.62,Low,Niche
75178,ASSTD COL BUTTERFLY/CRYSTAL W/CHIME,210.19,23.35,9,455,50.56,0.97,0.42,6,9,35.03,50.56,Medium,Niche
77079,DOLPHIN WINDMILL,2.12,2.12,1,1,1.0,2.12,,1,1,2.12,1.0,Low,Niche
77101A,UNION FLAG WINDSOCK,423.22,20.15,21,386,18.38,1.23,0.06,16,20,26.45,19.3,Medium,Occasional
78033,FLAG OF ST GEORGE CHAIR,197.2,21.91,9,40,4.44,5.57,0.75,6,9,32.87,4.44,Medium,Niche
78034B,BLUE NETTING STORAGE HANGER,15.6,2.23,7,8,1.14,1.95,0.0,6,6,2.6,1.33,Low,Niche
78124,MAGAZINE RACK GEBRA ASSORTED ,247.75,13.76,18,191,10.61,1.33,0.35,16,17,15.48,11.24,Medium,Occasional
79000,MOROCCAN TEA GLASS,2767.65,27.4,101,3817,37.79,0.82,0.08,69,99,40.11,38.56,Premium,Popular
79026B,"S/4 ICON COASTER,ELVIS LIVES",10.61,1.18,9,25,2.78,0.49,0.29,7,9,1.52,2.78,Low,Niche
79030D,TUMBLER BAROQUE,159.51,5.91,27,409,15.15,0.39,0.0,22,26,7.25,15.73,Medium,Occasional
79030D,"TUMBLER, BAROQUE",58.86,11.77,5,54,10.8,1.4,0.56,5,5,11.77,10.8,Low,Niche
79030G,TUMBLER NEW ENGLAND,478.14,11.38,42,1226,29.19,0.39,0.0,35,41,13.66,29.9,Medium,Occasional
79030G,"TUMBLER, NEW ENGLAND",131.94,11.99,11,138,12.55,1.19,0.64,11,11,11.99,12.55,Medium,Occasional
79051A,SMOKEY GREY COLOUR D.O.F. GLASS,207.39,7.41,28,591,21.11,0.36,0.14,23,26,9.02,22.73,Medium,Occasional
79051A,SMOKEY GREY COLOUR GLASS,58.0,4.83,12,200,16.67,0.29,0.0,10,11,5.8,18.18,Low,Occasional
79062D,"RETRO TIN ASHTRAY,REVOLUTIONARY",19.4,4.85,4,52,13.0,0.38,0.18,4,4,4.85,13.0,Low,Niche
79063C,"RETRO PILL BOX KEY CHAIN,THE KING",43.46,3.34,13,234,18.0,0.19,0.0,12,13,3.62,18.0,Low,Occasional
79063D,"RETRO PILL BOX , REVOLUTIONARY",34.91,3.17,11,189,17.18,0.19,0.0,9,10,3.88,18.9,Low,Occasional
79066K,RETRO MOD TRAY,628.33,5.56,113,751,6.65,0.9,0.2,70,113,8.98,6.65,High,Popular
79067,CORONA MEXICAN TRAY,496.25,27.57,18,143,7.94,3.71,0.19,16,18,31.02,7.94,Medium,Occasional
79071B,ENGLISH ROSE METAL WASTE BIN,59.0,5.36,11,20,1.82,2.95,0.0,10,11,5.9,1.82,Low,Occasional
79144B,PAINTED LIGHTBULB STAR+ MOON,42.96,2.68,16,108,6.75,0.41,0.02,14,15,3.07,7.2,Low,Occasional
79144C,PAINTED LIGHTBULB RAINBOW DESIGN,24.48,3.5,7,64,9.14,0.41,0.02,5,6,4.9,10.67,Low,Niche
79149B,SILICON STAR BULB  BLUE,7.56,0.94,8,18,2.25,0.42,0.0,8,8,0.94,2.25,Low,Niche
79151B,"SILICON CUBE 25W, BLUE",4.62,2.31,2,11,5.5,0.42,0.0,2,2,2.31,5.5,Low,Niche
79157B,UBO-LIGHT TRIOBASE BLUE,3.4,1.7,2,4,2.0,0.85,0.0,2,2,1.7,2.0,Low,Niche
79157V,UBO-LIGHT TRIOBASE PURPLE,4.25,1.42,3,5,1.67,0.85,0.0,3,3,1.42,1.67,Low,Niche
79160,HEART SHAPE WIRELESS DOORBELL,815.64,14.31,57,454,7.96,2.06,0.12,30,51,27.19,8.9,High,Popular
79161A,ST GEORGE SET OF 10 PARTY LIGHTS,5.9,2.95,2,2,1.0,2.95,0.0,2,2,2.95,1.0,Low,Niche
79163,BLACK CHAMPAGNE GLASS,627.03,17.42,36,1527,42.42,0.53,0.4,25,36,25.08,42.42,High,Occasional
79164,BLACK WINE GLASS,704.91,32.04,22,1675,76.14,0.68,0.54,12,20,58.74,83.75,High,Occasional
79190A,RETRO PLASTIC 70'S TRAY,144.06,4.12,35,343,9.8,0.42,0.0,24,35,6.0,9.8,Medium,Occasional
79190B,RETRO PLASTIC POLKA TRAY,251.82,6.81,37,671,18.14,0.42,0.02,24,37,10.49,18.14,Medium,Occasional
79190D,RETRO PLASTIC DAISY TRAY,95.34,3.81,25,227,9.08,0.42,0.0,16,25,5.96,9.08,Low,Occasional
79191B,RETRO PLASTIC POLKA TRAY,141.1,5.23,27,166,6.15,0.85,0.0,23,27,6.13,6.15,Medium,Occasional
79191C,RETRO PLASTIC ELEPHANT TRAY,946.83,12.14,78,1263,16.19,0.84,0.05,58,78,16.32,16.19,High,Popular
79191D,RETRO PLASTIC DAISY TRAY,31.45,3.93,8,37,4.62,0.85,0.0,7,8,4.49,4.62,Low,Niche
79192A,RETRO PLASTIC 70'S TRAY,3.75,1.88,2,3,1.5,1.25,0.0,2,2,1.88,1.5,Low,Niche
79302M,"ART LIGHTS,FUNK MONKEY",947.5,20.16,47,354,7.53,2.85,0.18,25,46,37.9,7.7,High,Popular
79320,FLAMINGO LIGHTS,4.95,4.95,1,1,1.0,4.95,,1,1,4.95,1.0,Low,Niche
79321,CHILLI LIGHTS,46636.21,87.99,530,9730,18.36,5.43,1.02,205,525,227.49,18.53,Premium,Best-Seller
